Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,ZnO_n,ZnO_k,PbSTBAI_n,PbSTBAI_k,PbSEDT_n,PbSEDT_k,Au_n,Au_k,Air_n,Air_k,,,,,,,,,,,,,,,,,,,,,,
417,1.51385,0,1.95939,1.36E-03,2.21964,2.15E-02,2.83645,0.81366,2.55756,0.71783,1.63175,1.95449,1,0,,,,,,,,,,,,,,,,,,,,,,
418,1.5138,0,1.95808,1.36E-03,2.2154,2.01E-02,2.83777,0.80912,2.55894,0.71364,1.63061,1.95354,1,0,,,,,,,,,,,,,,,,,,,,,,
419,1.51375,0,1.95676,1.36E-03,2.21117,1.87E-02,2.83902,0.80462,2.56033,0.70944,1.62947,1.9526,1,0,,,,,,,,,,,,,,,,,,,,,,
420,1.5137,0,1.95544,0.00136,2.20693,0.01725,2.84027,0.80013,2.56171,0.70525,1.62833,1.95165,1,0,,,,,,,,,,,,,,,,,,,,,,
421,1.51365,0,1.95416,0.00136,2.2028,0.01687,2.84145,0.79567,2.56292,0.70115,1.62682,1.95027,1,0,,,,,,,,,,,,,,,,,,,,,,
422,1.51361,0,1.95291,0.00137,2.19867,0.0165,2.84264,0.79121,2.56414,0.69705,1.62517,1.9487,1,0,,,,,,,,,,,,,,,,,,,,,,
423,1.51356,0,1.95161,0.00137,2.19453,0.01612,2.84377,0.7868,2.56535,0.69296,1.62351,1.94713,1,0,,,,,,,,,,,,,,,,,,,,,,
424,1.51351,0,1.95031,0.00137,2.1904,0.01575,2.8449,0.78239,2.56657,0.68886,1.62186,1.94556,1,0,,,,,,,,,,,,,,,,,,,,,,
425,1.51347,0,1.94905,0.00138,2.18627,0.01537,2.84597,0.77801,2.56779,0.68476,1.6202,1.94399,1,0,,,,,,,,,,,,,,,,,,,,,,
426,1.51342,0,1.9478,0.00138,2.18214,0.01528,2.84704,0.77364,2.56885,0.68076,1.61855,1.94242,1,0,,,,,,,,,,,,,,,,,,,,,,
427,1.51338,0,1.94655,0.00139,2.17801,0.0152,2.84805,0.76931,2.56991,0.67677,1.61689,1.94085,1,0,,,,,,,,,,,,,,,,,,,,,,
428,1.51333,0,1.9453,0.00139,2.17387,0.01511,2.84906,0.76498,2.57097,0.67277,1.61477,1.93905,1,0,,,,,,,,,,,,,,,,,,,,,,
429,1.51328,0,1.94408,0.0014,2.16974,0.01503,2.85002,0.76069,2.57203,0.66877,1.61211,1.93698,1,0,,,,,,,,,,,,,,,,,,,,,,
430,1.51324,0,1.94288,0.00141,2.16561,0.01494,2.85098,0.75641,2.57309,0.66477,1.60944,1.93492,1,0,,,,,,,,,,,,,,,,,,,,,,
431,1.51319,0,1.94164,0.00141,2.16294,0.01486,2.85188,0.75216,2.57401,0.66087,1.60677,1.93285,1,0,,,,,,,,,,,,,,,,,,,,,,
